title,author
Hiding Secrets in Plain Sight.,Andrzej Omieljanowicz
Remote Sensing Scene Graph and Knowledge Graph Matching with Parallel Walking Algorithm.,E. Lerzan Örmeci
Hierarchical Layouts for Photo Libraries.,Arthur J. Davidson
"ACM/Springer Mobile Networks and Applications (MONET) Special Issue on ""Advanced Mobile Applications and Intelligent Multimedia systems for Ubi-Com"".",Hai-Wei Sun
Bidirectional Optical Spatial Modulation for Mobile Users: Toward a Practical Design for LiFi Systems.,Alper Korkmaz
A Global Linear and Local Quadratic Noninterior Continuation Method for Nonlinear Complementarity Problems Based on Chen-Mangasarian Smoothing Functions.,Chi-Sang Jung
Dynamic anti-windup based control method for state constrained systems.,Theodosios Pavlidis
Horizontal Auto-Scaling for Multi-Access Edge Computing Using Safe Reinforcement Learning.,Bettina Klaus
Coincidence of cooperative game theoretic solutions in the appointment problem.,Haowei Xu
Tame and wild kernels of quadratic imaginary number fields.,Danni Zhu
Probabilistic visual secret sharing schemes for grey-scale images and color images.,Heike Siebert
Impact of Monsoon-Transported Anthropogenic Aerosols and Sun-Glint on the Satellite-Derived Spectral Remote Sensing Reflectance in the Indian Ocean.,Chaojiang Wu
Mining Architecture Tactics and Quality Attributes knowledge in Stack Overflow.,Amir Bozorgzadeh
On the Declarative Specification of Models.,Björn Berghausen
Phasor Estimation Algorithm Based on Complex Frequency Filters for Digital Relaying.,E. Lerzan Örmeci
Dissociated multi-unit activity and local field potentials: A theory inspired analysis of a motor decision task.,Andrew J. Hinchley
A Generalized Geodesic Distance-Based Approach for Analysis of SAR Observations Across Polarimetric Modes.,Mazen O. Hasna
A content based image retrieval system for a biological specimen collection.,Oliver Marschollek
A modification of kernel discriminant analysis for high-dimensional data - with application to face recognition.,Guangyuan Pan
A Special Section on Cognitive Computing for Internet of Health Informatics Things.,Gabriel M. Silberman
An integrated MOGA approach to determine the Pareto-optimal kanban number and size for a JIT system.,Moulay A. Barkatou
A Lattice-Partition Framework of Downlink Non-Orthogonal Multiple Access Without SIC.,Mazen O. Hasna
Road safety performance function analysis with visual feature importance of deep neural nets.,Oliver Marschollek
Simultaneous Domination in Graphs.,Hermano Frid
Existence of fuzzy prekernels and Mas-Colell bargaining sets in TU games.,David T. Wong
Self-Selected Task Allocation.,Aida Pliuskeviciene
A note on the Distance spectral radius of some graphs.,David Alan Grier
A discontinuous Galerkin finite element method for directly solving the Hamilton-Jacobi equations.,K. R. Ramakrishnan
GA-PPARM: constraint-based objective function and genetic algorithm for privacy preserved association rule mining.,Keecheon Kim
Comprehensive Application of Spatial and Reasoned Thinking in Physical Education.,Vera Tilson
On the expected time for Herman's probabilistic self-stabilizing algorithm.,David T. Wong
Mobile Technology for Foreign Language Teaching: Building Bridges between Non-formal and Formal Scenarios.,Anton Schiela
Digitale Transformation im stationären Einzelhandel.,Hidehisa Yoshida
Social Media: An Eccentric Business Communication Tool for the 21st Century Marketers.,David T. Wong
Coupling strategies for the numerical simulation of blood flow in deformable arteries by 3D and 1D models.,Cynthia Jane Solomon
Modeling allosteric signal propagation using protein structure networks.,Lianjun Xiao
Array of Organic Field-Effect Transistor for Advanced Sensing.,K. R. Ramakrishnan
Problem-based learning as an effective tool for teaching computer network design.,David T. Wong
"Papers Invited from the 12th International Conference on ITS Telecommunications, Taipei, Taiwan, November 5-8, 2012 [Guest Editorial].",Diogo Poças
Homophily and Social Norms in Experimental Network Formation Games.,Hermano Frid
Effects of Modulation Techniques on the Input Current Interharmonics of Adjustable Speed Drives.,Jiaqi Zhang 0001
Calculating the Maximum Execution Time of Real-Time Programs.,Osama Rashed Sayed
User-Like Executives.,David Dagan Feng
"An informational distance for estimating the faithfulness of a possibility distribution, viewed as a family of probability distributions, with respect to data.",Anna Maria Paganoni
A Variable Step Size LMS Algorithm Using Fuzzy Logic.,Diogo Poças
Large-scale Cortical Network Properties Predict Future Sound-to-Word Learning Success.,Alper Korkmaz
A pragmatic approach to integrated process/device/circuit simulation for IC technology development.,Theodosios Pavlidis
Trading rule discovery in the US stock market: An empirical study.,Huiqin Xie
Online education for developing contexts.,Babak Farzad
"Hilfsbereit, verständnisvoll, bescheiden: Problematik und Folgen von weiblichen Voice Assistants.",Arun Mittal
Numerical Minimization of Dirichlet Laplacian Eigenvalues of Four-Dimensional Geometries.,Haowei Xu
Cerebrospinal fluid control system.,Theodosios Pavlidis
Using Reputation Systems and Non-Deterministic Routing to Secure Wireless Sensor Networks.,Arvind Ramanathan
Performance modeling of microsecond scale biological molecular dynamics simulations on heterogeneous architectures.,Amir Bozorgzadeh
FUCEM: futuristic cooperation evaluation model using Markov process for evaluating node reliability and link stability in mobile ad hoc network.,Heike Siebert
Fast computation of Legendre moments of polyhedra.,Huijun Wu
Mathematical programming models for piecewise-linear discriminant analysis.,Diogo Poças
Which security policies are enforceable by runtime monitors? A survey.,Arvind Ramanathan
Euclidean Distance Approximations From Replacement Product Graphs.,Andrzej Omieljanowicz
Face morphing attack detection and attacker identification based on a watchlist.,Chia-Lung Yeh
A modified cumulant matrix for DOA estimation.,John T. Fredricksen
Fast k-Nearest Neighbor Searching in Static Objects.,Akira Suzuki
A Design Method of bursting Using Two-Parameter bifurcation Diagrams in Fitzhugh-nagumo Model.,Hai-Wei Sun
E-medical diagnosis support system for non-invasive liver fibrosis recognition.,Arvind Ramanathan
Austin Center for Design.,Kanad Chakraborty
Information: 'I' vs. 'we' vs. 'they'.,Fabio Nobile
On-line Construction of Two-Dimensional Suffix Trees.,John T. Fredricksen
Prototyping: generating ideas or cargo cult designs?,Aida Pliuskeviciene
Systematic Integration of Design Methods.,Arvind Ramanathan
New March Tests for Multiport RAM Devices.,Guangyuan Pan
Applying Case-Based Reasoning to Tactical Cognitive Sensor Networks for Dynamic Frequency Allocation.,Hidehisa Yoshida
Validation of the SARAH-E Satellite-Based Surface Solar Radiation Estimates over India.,Arthur J. Davidson
Block-level packet recovery with network coding for wireless reliable multicast.,Gabriel M. Silberman
Gewissensbits - wie würden Sie urteilen?,Arthur J. Davidson
On the applicability of the Fujisaki-Okamoto transformation to the BIKE KEM.,Chaojiang Wu
A Minimum Arclength Method for Removing Spikes in Empirical Mode Decomposition.,Kwok-Kai Soo
Integral geometry for the 1-norm.,Daniel Troy
The changing mouse embryo transcriptome at whole tissue and single-cell resolution.,Hai-Wei Sun
Two-Pass Bilateral Smooth Filtering for Remote Sensing Imagery.,Adel El-Faraskoury
Considerations on the multiplexing and diversity tradeoff in ieee 802.11 networks.,M. I. Cohen
Short-Term Loan.,N. C. Simpson
An admission control algorithm based on matching game and differentiated service in wireless mesh networks.,Ahmed M. Mohamed
Federated Learning-Based Cooperative Spectrum Sensing in Cognitive Radio.,Abbas Heydari
Design principles for the glycoprotein quality control pathway.,Theodore Hailperin
An Upper Bound for Ramanujan Primes.,E. Lerzan Örmeci
On a Free Boundary Problem for a Strongly Degenerate Quasi-Linear Parabolic Equation with an Application to a Model of Pressure Filtration.,Abbas Heydari
Theoretical development of a probabilistic fuzzy model for opinion formation in social networks.,Hermano Frid
Workshop on multi-dimensional separation of concerns in software engineering.,Karl-Heinz Best
Joint segmentation and classification of retinal arteries/veins from fundus images.,Theodore Hailperin
Correction of Wavefront Tilt Caused by Atmospheric Turbulence Using Quadrant Detectors for Enabling Fast Free-Space Quantum Communications in Daylight.,Laurent Chupin
Real-time multiview data fusion for object tracking with RGBD sensors.,Bettina Klaus
Unsupervised Deep Joint Segmentation of Multitemporal High-Resolution Images.,Gabriel M. Silberman
Guest Editors' Introduction: Special Issue on Cloud of Clouds.,Hermano Frid
MDP-based handover policy in wireless relay systems.,Astrid Tannert
HanLP-Based Technology Function Matrix Construction on Chinese Process Patents.,Laurent Chupin
NFS-cc: tuning NFS for concurrent read sharing.,Abbas Heydari
Publishing Artificial Intelligence Research Papers: A Tale of Three Journals.,Norman F. Schneidewind
Literate specifications.,S. Twomey
An Operational Approach To Program Design.,Huijun Wu
Independent Updates and Incremental Agreement in Replicated Databases.,Anita Schöbel
Creating Face Models from Vague Mental Images.,Keecheon Kim
Critical diversity dimensions influencing effective diverse workforce: a grey-DEMATEL approach.,Chaojiang Wu
Solution algorithms for the generalized train unit shunting problem.,Chaojiang Wu
Impact of Factors Influencing Cyber Threats on Autonomous Vehicles.,Cynthia Jane Solomon
Guest Editors' Introduction: Special Issue on Autonomous Systems Design.,Ming Zhang
Application of adaptive multilevel splitting to high-dimensional dynamical systems.,Vera Tilson
Penalised spline estimation for generalised partially linear single-index models.,Erik Meineche Schmidt
Improving the Adversarial Robustness for Speaker Verification by Self-Supervised Learning.,Kanad Chakraborty
Are Malware Detection Classifiers Adversarially Vulnerable to Actor-Critic based Evasion Attacks?,Abbas Heydari
Sample size estimation in diagnostic test studies of biomedical informatics.,N. C. Simpson
On rank of block Hankel matrix for 2-D frequency detection and estimation.,André Raspaud
Harmonisierung divergierender organisationaler Kulturen in öffentlich-privaten IT-Partnerschaften.,Anton Schiela
Initial Boundary Value Problem for Model Equations of Resistive Drift Wave Turbulence.,N. C. Simpson
A constructive approach to examination timetabling based on adaptive decomposition and ordering.,Astrid Tannert
Ranking configuration parameters in multi-tiered e-commerce sites.,Dariusz Fabianowski
High-Level Synthesis of Number-Theoretic Transform: A Case Study for Future Cryptosystems.,Chaojiang Wu
Almost Lyapunov functions for nonlinear systems.,David Perry
On nonmetric similarity search problems in complex domains.,Vera Tilson
A DEA approach for evaluating the efficiency and effectiveness of urban transit systems.,Erik Meineche Schmidt
"The Yale human grasping dataset: Grasp, object, and task data in household and machine shop environments.",Adriano Meta
"Review of ""Concurrent and real-time systems: the CSP approach"" by Steve Schneider. Wiley 1999.",Alper Korkmaz
Interference alignment in K-user multiple-input-multiple-output interference channels with partially coordinated receivers.,Lianjun Xiao
Design and application of integrated parabolic soft actuator.,Vera Tilson
Formal solutions of singularly-perturbed linear differential systems.,Ahmed M. Mohamed
Computing-in-Memory for Performance and Energy-Efficient Homomorphic Encryption.,Hen-Wai Tsao
Analytical Methods for CDMA Systems with Parallel Interference Cancellation: The Large Deviation Approach.,Vera Tilson
Affinity Propagation Clustering of Measurements for Multiple Extended Target Tracking.,Gabriel M. Silberman
Fast and Reliable Estimation of Multiple Parametric Images Using an Integrated Method for Dynamic SPECT.,Dinesh Manocha
A high-resolution method for the depth-integrated solute transport equation based on an unstructured mesh.,E. Lerzan Örmeci
ggparliament: A ggplot2 extension for parliament plots in R.,E. A. Mary Anita
Encode Imaging System Parameters as Distribution to Improve Reflection Generation and Removal.,Björn Berghausen
miR-196a-2 Promotes Malignant Progression of Thyroid Carcinoma by Targeting NRXN1.,Guangyuan Pan
Universal Synchronous Rectification Scheme for LLC Resonant Converter Using Primary-Side Inductor Voltage.,Theodosios Pavlidis
Monocular Semidirect Visual Odometry for Large-Scale Outdoor Localization.,Adel El-Faraskoury
Improving Human Decision Making through Case-Based Decision Aiding.,Daniel Troy
An efficient weak sharpening detection method for image forensics.,Hermano Frid
Flexible Transaction Dependencies in Database Systems.,Adriano Meta
Professional ethics and social responsibility: military work and peacebuilding.,Guangyuan Pan
Allowing for the effect of data binning in a Bayesian Normal mixture model.,Moulay A. Barkatou
Local bifurcation Boundary and Steady-State Security Boundary in Large Electric Power Systems: Numerical Studies.,Guangyuan Pan
Monotonicity properties of wholesale price contracts.,Erik Meineche Schmidt
Distance Oracles beyond the Thorup-Zwick Bound.,Erik Meineche Schmidt
Maximum semi-matching problem in bipartite graphs.,Dinesh Manocha
MM-DSS: Integrating multimedia and decision-making knowledge in decision support systems.,Babak Farzad
Feature-basierte Modellierung und Analyse von Variabilität in Produktlinienanforderungen.,Louise A. Mawn
Problem 11378.,Adel El-Faraskoury
Software Productivity in DevOps.,Arturo Molina 0001
SMS Banking: An Exploratory Investigation of the Factors Influencing Future Use.,Roy Edgar Hansen
Improving amplify-and-forward relay networks: optimal power allocation versus selection.,Anita Schöbel
Updating the Agenda for Academic Libraries and Scholarly Communications.,Alper Korkmaz
Creating accessible educational multimedia through editing automatic speech recognition captioning in real time.,Hen-Wai Tsao
An extended KCF tracking algorithm based on TLD structure in low frame rate videos.,Kanad Chakraborty
An adaptive memory methodology for the vehicle routing problem with simultaneous pick-ups and deliveries.,Moulay A. Barkatou
Into Scandinavia: When Online Fatherhood Reflects Societal Infrastructures.,Arthur J. Davidson
Localized measurement of image fractal dimension using gabor filters.,Oliver Marschollek
Representation Learning for EEG-Based Biometrics Using Hilbert-Huang Transform.,Erik Meineche Schmidt
"Code Growth, Explicitly Defined Introns, and Alternative Selection Schemes.",John T. Fredricksen
On constrained 2-Partitions of monochromatic sets and generalizations in the sense of Erdos-Ginzburg-Ziv.,Fabio Nobile
Comparison of magnetic field distributions generated by various permanent magnets for transcranial static magnetic stimulation: A simulation study.,Björn Berghausen
Does virtual reality affect behavioral intention? Testing engagement processes in a K-Pop video on YouTube.,S. Twomey
Nucleotide sequence of tryptophan tRNA from Bacillus subtilis.,Heike Siebert
Das Regionale Wirtschaftsarchiv in Berlin.,Kanad Chakraborty
Reformulations for general advection-diffusion-reaction equations and locally implicit ADER schemes.,Kanad Chakraborty
Dimension quotients of metabelian Lie rings.,Babak Farzad
Density of Extremal Sets in Multivariate Chebyshev Approximation.,Hermano Frid
Influence of the residual stress state of coatings on the wear behavior in external turning of AISI 4140 and Ti-6Al-4V.,Daniel Troy
Editorial on the special issue of RTNS 2020.,Robert Finger
Markov Chain Model for Events Following Induced Abortion.,Lukasz Maksymiuk
An Enhanced Secure Authentication Scheme for Vehicular Ad Hoc Networks Without Pairings.,Kwok-Kai Soo
Path partition for graphs with special blocks.,David Alan Grier
Shape symmetry analysis of breast tumors on ultrasound images.,Dinesh Manocha
Piezo/Tribotronics Toward Smart Flexible Sensors.,Huiqin Xie
"Triangular intuitionistic fuzzy random decision making based on combination of parametric estimation, score functions, and prospect theory.",Kwok-Kai Soo
"Reminiscences ""Back in the Good Old Days..."".",Andrew J. Hinchley
Open hypermedia for product support.,Keecheon Kim
Correspondence of Trap Spaces in Different Models of Bioregulatory Networks.,C. G. Parthipan
The effects of transparency on trust in and acceptance of a content-based art recommender.,Adriano Meta
An Evolutionary Dynamic Control Cuckoo Search Algorithm for Solving the Constrained Engineering Design Problems.,Fabio Nobile
Intelligent Modeling and Verification 2014.,Amir Shmuel
MyGeoHub - A sustainable and evolving geospatial science gateway.,David Alan Grier
Computational origami environment on the web.,Ilan Abramovici
An efficient volume- rendering algorithm with an analytic approach.,Arturo Molina 0001
Product Cost Management Structures: a review and neural network modelling.,Chaojiang Wu
UCL facsimile system.,Danni Zhu
A discrete water cycle algorithm for solving the symmetric and asymmetric traveling salesman problem.,Erik Meineche Schmidt
Human-computer interaction and standardization.,Huijun Wu
"Software engineering: a programming approach 2nd Edition : D Bell, I Morrey and J Pugh Prentice-Hall (1992) 338 pp £16.95 ISBN 0 13 832536 7.",Andrew J. Hinchley
Objective Methods for Reliable Detection of Concealed Depression.,Anna Maria Paganoni
Argumentation and CP-Boolean Games.,Di Li 0003
The Conditions of Solvability of the Inverse Problem of Operator Equation for a Pattern Recognition Neurooperator Model.,Guangyuan Pan
A Semantic Approach to Virtual World Standards.,Aku Riihelä
Convergence of Sparse Collocation for Functions of Countably Many Gaussian Random Variables (with Application to Elliptic PDEs).,Hermano Frid
Protocols for reliable data transport in space internet.,Renbiao Wu
Joint transmit antenna selection and precoding for millimeter wave massive MIMO systems.,Haowei Xu
Stabilizing an Uncertain Production System.,Aku Riihelä
Small-Cell Assisted Group Paging for Massive MTC in LTE Networks: Design and Analysis.,Oliver Marschollek
A Wave Digital Newton-Raphson Method for Virtual Analog Modeling of Audio Circuits with Multiple One-Port Nonlinearities.,Chia-Lung Yeh
A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,Mazen O. Hasna
An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.,Duyan Bi
An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.,Chi-Sang Jung
Linear transformations for cross-lingual semantic textual similarity.,Cynthia Jane Solomon
Offline signature verification using shape correspondence.,David Dagan Feng
Analysis of the Reliability of LoRa.,Dariusz Fabianowski
Improved Electric Field Distribution Within Bushing Insulation by EP/GO Nanocomposites With Reduced Temperature Coefficient of Conductivity.,Osama Rashed Sayed
"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices.",Norman F. Schneidewind
A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.,Chaojiang Wu
Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,Erik Meineche Schmidt
Time discretization and stability regions for dissipative-dispersive Kuramoto-Sivashinsky equation arising in turbulent gas flow over laminar liquid.,Gabriel M. Silberman
Intraoperative visualization of cerebral oxygenation using hyperspectral image data: a two-dimensional mapping method.,Qiqi Wang
Drivers and barriers for secure hardware adoption across ecosystem stakeholders.,Huiqin Xie
Development of a Novel Burned-Area Subpixel Mapping (BASM) Workflow for Fire Scar Detection at Subpixel Level.,Kwok-Kai Soo
Erste Überlegungen zur Erklärbarkeit von Deep-Learning-Modellen für die Analyse von Quellcode.,Bettina Klaus
On the Convergence of Decentralized Gradient Descent.,Babak Farzad
Developing the New Learning Environment: The Changing Role of the Academic Librarian.,John T. Fredricksen
"Deanna Marcum and Roger C. Schonfeld. Along Came Google: A History of Library Digitization. Princeton, NJ: Princeton University Press, 2021. 232p. Hardcover, $25.99 (ISBN: 978-0691172712).",Le Deng
Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels,Lianjun Xiao
Expanding risk consideration in integrated models - The role of downside risk aversion in irrigation decisions.,K. R. Ramakrishnan
A Hybrid BCI Based on SSVEP and EOG for Robotic Arm Control.,Huiqin Xie
k-Efficient domination: Algorithmic perspective.,Chi-Sang Jung
Control of clock signals.,Aida Pliuskeviciene
Efficient Gridless Angle Estimation for Bistatic MIMO Radar With Planar Arrays.,Andrzej Omieljanowicz
Effect of Game Based Balance Exercises on Rehabilitation After Knee Surgery: A Controlled Observational Study.,David T. Wong
A Simulation-Based Approach to Decision Making with Partial Information.,Qiqi Wang
Candidate List Reduction Based on the Analysis of Fingerprint Indexing Scores.,Huijun Wu
Power allocation in vector estimation systems with the impact of wireless channel uncertainty.,David Dagan Feng
Toward Universal Stripe Removal via Wavelet-Based Deep Convolutional Neural Network.,Arvind Ramanathan
Local search heuristics for multi-index assignment problems with decomposable costs.,Arturo Molina 0001
Private Cloud-Infrastrukturen und Cloud-Plattformen.,Laurent Chupin
Dynamic changes in the secondary structure of ECE-1 and XCE account for their different substrate specificities.,Ahmed M. Mohamed
A clustering detector with graph theory for blind detection of spatial modulation systems.,Lukasz Maksymiuk
Inferring Bias and Uncertainty in Camera Calibration.,Constant Solimando
Keyword Search Over Probabilistic RDF Graphs.,Kanad Chakraborty
Incremental-data stealth-transmission method in DSSS.,John T. Fredricksen
An extensive evaluation of seven machine learning methods for rainfall prediction in weather derivatives.,Daniel Troy
Bottom-up action modeling via spatial factorization for serving food.,Diogo Poças
Correlation analysis of target echoes using distributed transmit array.,Kwok-Kai Soo
Secure Transmission in Linear Multihop Relaying Networks.,Adel El-Faraskoury
Group Divisible Designs with Block Size Four and Group Type ,Theodosios Pavlidis
Learning the Graph Edit Costs Based on a Learning Model Applied to Sub-optimal Graph Matching.,Arturo Molina 0001
Informationssysteme in der Medizin.,Jan Camenisch
DMFA-SR: Deeper Membership and Friendship Awareness for Social Recommendation.,C. G. Parthipan
mpC: a Multi-Paradigm Programming Language for Massively Parallel Computers.,Chi-Sang Jung
A computer-aided approach to identify novel Leishmania major protein disulfide isomerase inhibitors for treatment of leishmaniasis.,Diogo Poças
On the edge-density of 4-critical graphs.,Guangyuan Pan
Distributed Dual Gradient Tracking for Resource Allocation in Unbalanced Networks.,Gabriel M. Silberman
Technological innovations in hospitals: what kind of competitive advantage does adoption lead to?,Constant Solimando
On the Calculation of Squaring Loss in Costas Loops with Arbitrary Arm Filters.,Bettina Klaus
tacmagic: Positron emission tomography analysis in R.,M. I. Cohen
Domain-Independent Queries on Databases with External Functions.,Arthur J. Davidson
Secondary use of electronic health record data for clinical workflow analysis.,Christopher I. Amos
Performance-Driven Assignment of Buffered I/O Signals in Area-I/O Flip-Chip Designs.,Amir Bozorgzadeh
"A Common Set of Perceptual Observables for Grouping, Figure-Ground Discrimination, and Texture Classification.",Osama Rashed Sayed
Estimating the extra costs imposed on delivery vehicles using access time windows in a city.,E. A. Mary Anita
A deep learning based method benefiting from characteristics of patents for semantic relation classification.,Luca Schenato 0001
Generic Automorphisms with prescribed Fixed Fields.,Laurent Chupin
Ten Hot Topics around Scholarly Publishing.,Lianjun Xiao
Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.,Lukasz Maksymiuk
Scene Coordinate Regression Network With Global Context-Guided Spatial Feature Transformation for Visual Relocalization.,N. C. Simpson
Shape-Driven EIT Reconstruction Using Fourier Representations.,Andrzej Omieljanowicz
Computing the Newton Polygon of the Implicit Equation.,Chi-Sang Jung
Neutrosophic Logic Based Quantum Computing.,Bettina Klaus
On the origin of distribution patterns of motifs in biological networks.,Naohisa Komatsu
Vector quantization of excitation gains in speech coding.,Aida Pliuskeviciene
Constructing Optimal Highways.,Hermano Frid
Annular Neighboring Points Distribution Analysis: A Novel PLS Stem Point Cloud Preprocessing Algorithm for DBH Estimation.,Mazen O. Hasna
Factor copula models for multivariate data.,Fabio Nobile
#IamMetiria: A qualitative case study of agonistic welfare policy debates on Twitter.,Jiang Ma
Finite-Time Peak-To-Peak Filtering for Nonlinear Singular System.,Babak Farzad
MagicVO: An End-to-End Hybrid CNN and Bi-LSTM Method for Monocular Visual Odometry.,S. Twomey
"Statistical Modeling, Simulation, and Experimental Verification of Wideband Indoor Mobile Radio Channels.",Ming Zhang
Interpreting AI and its place in our worlds.,Chia-Lung Yeh
Acoustic Features for the Identification of Coronary Artery Disease.,Astrid Tannert
A CCD-ADI method for unsteady convection-diffusion equations.,Amir Shmuel
A Novel Decentralized Analytical Methodology for Cyber Physical Networks Attack Detection.,Hai-Wei Sun
Generalized techniques for solving intuitionistic fuzzy multi-objective non-linear optimization problems.,Qiqi Wang
Maximizing Barber's bipartite modularity is also hard.,Bita Alipasandi
Austin Group Status Update.,David Perry
Incremental holistic controller.,Huijun Wu
Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.,Erik Meineche Schmidt
Polar permutation graphs are polynomial-time recognisable.,Diogo Poças
Newly Elected CIS Administrative Committee Members (2021-2023) [Society Briefs].,Osama Rashed Sayed
Temperament trait Harm Avoidance associates with μ-opioid receptor availability in frontal cortex: A PET study using [,Karl-Heinz Best
Reversible computing and implicit computational complexity.,Lukasz Maksymiuk
"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs.",Wirt Atmar
An Adaptive Infeasible-Interior-Point Method with the One-Norm Wide Neighborhood for Semi-definite Programming.,Abbas Heydari
Multi-Agent Deep Reinforcement Learning for Trajectory Design and Power Allocation in Multi-UAV Networks.,Anita Schöbel
Multi-Invariance ESPRIT-Based Blind DOA Estimation for MC-CDMA With an Antenna Array.,Osama Rashed Sayed
Notes on the simulation of evolution.,C. G. Parthipan
Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.,Andrew J. Hinchley
A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.,Jan Camenisch
CMPF: Class-switching minimized pathfinding in metabolic networks.,Amir Shmuel
An autonomous IoT service placement methodology in fog computing.,Hai-Wei Sun
Quantum Indistinguishability of Random Sponges.,E. Lerzan Örmeci
Sybase System 11 Online Capabilities.,Ilan Abramovici
ILClass: Error-driven antecedent learning for evolving Takagi-Sugeno classification systems.,Andrew J. Hinchley
New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.,Luca Schenato 0001
A new lower bound for the minimum distance of a cyclic code.,Andrew J. Hinchley
A Stochastic Joint Replenishment Problem with Dissimilar Items.,David Alan Grier
Gains and limits of diversity techniques in cognitive radio systems.,Jiaqi Zhang 0001
An accuracy improved hearing aid readout circuit using a gain-enhanced and OTA-free pseudo-PLL feedback technique.,Amir Bozorgzadeh
Dynamic establishment of restorable connections using p.,Norman F. Schneidewind
Simulation of a pediatric hospital in evacuation considering groups.,Arthur J. Davidson
"A Stochastic Formulation of the Dynamic Assignment Problem, with an Application to Truckload Motor Carriers.",Di Li 0003
Left truncated and right censored Weibull data and likelihood inference with an illustration.,Chi-Sang Jung
Technology entrepreneurial styles: a comparison of UMC and TSMC.,Hermano Frid
Block-Based High Performance CNN Architectures for Frame-Level Overlapping Speech Detection.,Björn Berghausen
Input-to-State Stabilization of Nonlinear Systems via Event-Triggered Impulsive Control.,Fabian Rothmaier
Defending the Boundaries: Identifying and Countering Threats in a Usenet Newsgroup.,Erik Meineche Schmidt
Optimal policies with decreasing probability of imperfect maintenance.,Hady Pranoto
Weighted and Controlled Frames: Mutual Relationship and First Numerical Properties.,Anna Maria Paganoni
Two Poset Polytopes.,Osama Rashed Sayed
A make-to-stock production/inventory model with MAP arrivals and phase-type demands.,E. A. Mary Anita
Leader-following mean square consensus of stochastic multi-agent systems with ROUs and RONs under periodically variable impulse time windows.,Alper Korkmaz
Integrated Geophysics and Geomatics Surveys in the Valley of the Kings.,Aida Pliuskeviciene
